INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2011-01-21T00:00:00-00:00,2011-01-21T00:15:00-00:00,2011-01-20,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,15.9527,1,1
2011-01-21T01:00:00-00:00,2011-01-21T01:15:00-00:00,2011-01-20,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,40.4226,1,1
2011-01-21T02:00:00-00:00,2011-01-21T02:15:00-00:00,2011-01-20,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,56.65035,1,1
2011-01-21T03:00:00-00:00,2011-01-21T03:15:00-00:00,2011-01-20,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,60.1227,1,1
2011-01-21T04:00:00-00:00,2011-01-21T04:15:00-00:00,2011-01-20,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,29.93146,1,1
2011-01-21T05:00:00-00:00,2011-01-21T05:15:00-00:00,2011-01-20,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.20984,1,1
2011-01-21T06:00:00-00:00,2011-01-21T06:15:00-00:00,2011-01-20,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.0815,1,1
2011-01-21T07:00:00-00:00,2011-01-21T07:15:00-00:00,2011-01-20,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.1222,1,1
2011-01-21T00:15:00-00:00,2011-01-21T00:30:00-00:00,2011-01-20,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,20.14526,2,1
2011-01-21T01:15:00-00:00,2011-01-21T01:30:00-00:00,2011-01-20,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,67.15944,2,1
