INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2013-08-01T00:00:00-00:00,2013-08-01T00:15:00-00:00,2013-07-31,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.57601,1,1
2013-08-01T01:00:00-00:00,2013-08-01T01:15:00-00:00,2013-07-31,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.80834,1,1
2013-08-01T02:00:00-00:00,2013-08-01T02:15:00-00:00,2013-07-31,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.1049,1,1
2013-08-01T03:00:00-00:00,2013-08-01T03:15:00-00:00,2013-07-31,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,40.37269,1,1
2013-08-01T04:00:00-00:00,2013-08-01T04:15:00-00:00,2013-07-31,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.9829,1,1
2013-08-01T05:00:00-00:00,2013-08-01T05:15:00-00:00,2013-07-31,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.11421,1,1
2013-08-01T06:00:00-00:00,2013-08-01T06:15:00-00:00,2013-07-31,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,30.72883,1,1
2013-08-01T00:15:00-00:00,2013-08-01T00:30:00-00:00,2013-07-31,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.28948,2,1
2013-08-01T01:15:00-00:00,2013-08-01T01:30:00-00:00,2013-07-31,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,30.85781,2,1
2013-08-01T02:15:00-00:00,2013-08-01T02:30:00-00:00,2013-07-31,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,30.42321,2,1
2013-08-01T03:15:00-00:00,2013-08-01T03:30:00-00:00,2013-07-31,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.11371,2,1
2013-08-01T04:15:00-00:00,2013-08-01T04:30:00-00:00,2013-07-31,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.54735,2,1
2013-08-01T05:15:00-00:00,2013-08-01T05:30:00-00:00,2013-07-31,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.99073,2,1
