INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2013-10-11T00:00:00-00:00,2013-10-11T00:15:00-00:00,2013-10-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,30.39043,1,1
2013-10-11T01:00:00-00:00,2013-10-11T01:15:00-00:00,2013-10-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.79321,1,1
2013-10-11T02:00:00-00:00,2013-10-11T02:15:00-00:00,2013-10-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.29394,1,1
2013-10-11T03:00:00-00:00,2013-10-11T03:15:00-00:00,2013-10-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,41.89466,1,1
2013-10-11T04:00:00-00:00,2013-10-11T04:15:00-00:00,2013-10-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.74125,1,1
2013-10-11T05:00:00-00:00,2013-10-11T05:15:00-00:00,2013-10-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.00303,1,1
2013-10-11T06:00:00-00:00,2013-10-11T06:15:00-00:00,2013-10-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.27099,1,1
2013-10-11T00:15:00-00:00,2013-10-11T00:30:00-00:00,2013-10-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,30.11377,2,1
2013-10-11T01:15:00-00:00,2013-10-11T01:30:00-00:00,2013-10-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,52.97457,2,1
2013-10-11T02:15:00-00:00,2013-10-11T02:30:00-00:00,2013-10-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.24527,2,1
2013-10-11T03:15:00-00:00,2013-10-11T03:30:00-00:00,2013-10-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.77691,2,1
2013-10-11T04:15:00-00:00,2013-10-11T04:30:00-00:00,2013-10-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.56467,2,1
2013-10-11T05:15:00-00:00,2013-10-11T05:30:00-00:00,2013-10-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.24474,2,1
