INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2014-03-11T00:00:00-00:00,2014-03-11T00:15:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.74263,1,1
2014-03-11T01:00:00-00:00,2014-03-11T01:15:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.84988,1,1
2014-03-11T02:00:00-00:00,2014-03-11T02:15:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.46889,1,1
2014-03-11T03:00:00-00:00,2014-03-11T03:15:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,53.59592,1,1
2014-03-11T04:00:00-00:00,2014-03-11T04:15:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,61.09772,1,1
2014-03-11T05:00:00-00:00,2014-03-11T05:15:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,91.95448,1,1
2014-03-11T06:00:00-00:00,2014-03-11T06:15:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,36.10479,1,1
2014-03-11T00:15:00-00:00,2014-03-11T00:30:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.23399,2,1
2014-03-11T01:15:00-00:00,2014-03-11T01:30:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.69792,2,1
2014-03-11T02:15:00-00:00,2014-03-11T02:30:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,45.45911,2,1
2014-03-11T03:15:00-00:00,2014-03-11T03:30:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,51.92891,2,1
2014-03-11T04:15:00-00:00,2014-03-11T04:30:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.41912,2,1
2014-03-11T05:15:00-00:00,2014-03-11T05:30:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,51.82614,2,1
2014-03-11T06:15:00-00:00,2014-03-11T06:30:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.97976,2,1
2014-03-11T00:30:00-00:00,2014-03-11T00:45:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.55098,3,1
2014-03-11T01:30:00-00:00,2014-03-11T01:45:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.98265,3,1
2014-03-11T02:30:00-00:00,2014-03-11T02:45:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.63973,3,1
2014-03-11T03:30:00-00:00,2014-03-11T03:45:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,47.96876,3,1
2014-03-11T04:30:00-00:00,2014-03-11T04:45:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,53.49851,3,1
2014-03-11T05:30:00-00:00,2014-03-11T05:45:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,45.99322,3,1
2014-03-11T06:30:00-00:00,2014-03-11T06:45:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,23.59367,3,1
2014-03-11T00:45:00-00:00,2014-03-11T01:00:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.55075,4,1
2014-03-11T01:45:00-00:00,2014-03-11T02:00:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.77699,4,1
2014-03-11T02:45:00-00:00,2014-03-11T03:00:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,58.13305,4,1
2014-03-11T03:45:00-00:00,2014-03-11T04:00:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.79023,4,1
2014-03-11T04:45:00-00:00,2014-03-11T05:00:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.17214,4,1
2014-03-11T05:45:00-00:00,2014-03-11T06:00:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.68552,4,1
2014-03-11T06:45:00-00:00,2014-03-11T07:00:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,-12.15138,4,1
2014-03-11T00:00:00-00:00,2014-03-11T00:15:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-7.03562,1,2
2014-03-11T01:00:00-00:00,2014-03-11T01:15:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,1,2
2014-03-11T02:00:00-00:00,2014-03-11T02:15:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-11.55252,1,2
2014-03-11T03:00:00-00:00,2014-03-11T03:15:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-9.51603,1,2
2014-03-11T04:00:00-00:00,2014-03-11T04:15:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-2.47465,1,2
2014-03-11T05:00:00-00:00,2014-03-11T05:15:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,2.23166,1,2
2014-03-11T06:00:00-00:00,2014-03-11T06:15:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,1,2
2014-03-11T00:15:00-00:00,2014-03-11T00:30:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-7.12097,2,2
2014-03-11T01:15:00-00:00,2014-03-11T01:30:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,2,2
2014-03-11T02:15:00-00:00,2014-03-11T02:30:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-39.71368,2,2
2014-03-11T03:15:00-00:00,2014-03-11T03:30:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-8.46811,2,2
2014-03-11T04:15:00-00:00,2014-03-11T04:30:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-5.82437,2,2
2014-03-11T05:15:00-00:00,2014-03-11T05:30:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,1.74753,2,2
2014-03-11T06:15:00-00:00,2014-03-11T06:30:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,2,2
2014-03-11T00:30:00-00:00,2014-03-11T00:45:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-6.91312,3,2
2014-03-11T01:30:00-00:00,2014-03-11T01:45:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,3,2
2014-03-11T02:30:00-00:00,2014-03-11T02:45:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-30.26002,3,2
2014-03-11T03:30:00-00:00,2014-03-11T03:45:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-5.46605,3,2
2014-03-11T04:30:00-00:00,2014-03-11T04:45:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-2.40151,3,2
2014-03-11T05:30:00-00:00,2014-03-11T05:45:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,1.6294,3,2
2014-03-11T06:30:00-00:00,2014-03-11T06:45:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,3,2
2014-03-11T00:45:00-00:00,2014-03-11T01:00:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-6.9052,4,2
2014-03-11T01:45:00-00:00,2014-03-11T02:00:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-5.56896,4,2
2014-03-11T02:45:00-00:00,2014-03-11T03:00:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-27.29494,4,2
2014-03-11T03:45:00-00:00,2014-03-11T04:00:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-0.68454,4,2
2014-03-11T04:45:00-00:00,2014-03-11T05:00:00-00:00,2014-03-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-1.64811,4,2
2014-03-11T05:45:00-00:00,2014-03-11T06:00:00-00:00,2014-03-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0.41915,4,2
2014-03-11T06:45:00-00:00,2014-03-11T07:00:00-00:00,2014-03-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,4,2
2014-03-11T00:00:00-00:00,2014-03-11T00:15:00-00:00,2014-03-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCE,LMP_ENE_PRC,LAPLMG1_7_B2,ALL,1,40.7249,1,3
2014-03-11T01:00:00-00:00,2014-03-11T01:15:00-00:00,2014-03-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCE,LMP_ENE_PRC,LAPLMG1_7_B2,ALL,1,34.54246,1,3
2014-03-11T02:00:00-00:00,2014-03-11T02:15:00-00:00,2014-03-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCE,LMP_ENE_PRC,LAPLMG1_7_B2,ALL,1,52.05076,1,3
2014-03-11T03:00:00-00:00,2014-03-11T03:15:00-00:00,2014-03-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCE,LMP_ENE_PRC,LAPLMG1_7_B2,ALL,1,66.87004,1,3
