INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2013-07-11T00:00:00-00:00,2013-07-11T00:15:00-00:00,2013-07-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,50.55515,1,1
2013-07-11T01:00:00-00:00,2013-07-11T01:15:00-00:00,2013-07-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,45.0997,1,1
2013-07-11T02:00:00-00:00,2013-07-11T02:15:00-00:00,2013-07-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.83592,1,1
2013-07-11T03:00:00-00:00,2013-07-11T03:15:00-00:00,2013-07-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,47.10291,1,1
2013-07-11T04:00:00-00:00,2013-07-11T04:15:00-00:00,2013-07-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,52.12063,1,1
2013-07-11T05:00:00-00:00,2013-07-11T05:15:00-00:00,2013-07-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,50.62941,1,1
2013-07-11T06:00:00-00:00,2013-07-11T06:15:00-00:00,2013-07-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,47.2068,1,1
2013-07-11T00:15:00-00:00,2013-07-11T00:30:00-00:00,2013-07-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,47.08922,2,1
2013-07-11T01:15:00-00:00,2013-07-11T01:30:00-00:00,2013-07-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,45.03045,2,1
2013-07-11T02:15:00-00:00,2013-07-11T02:30:00-00:00,2013-07-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.52616,2,1
2013-07-11T03:15:00-00:00,2013-07-11T03:30:00-00:00,2013-07-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.36525,2,1
2013-07-11T04:15:00-00:00,2013-07-11T04:30:00-00:00,2013-07-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,46.73236,2,1
2013-07-11T05:15:00-00:00,2013-07-11T05:30:00-00:00,2013-07-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,48.52236,2,1
2013-07-11T06:15:00-00:00,2013-07-11T06:30:00-00:00,2013-07-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,45.07918,2,1
2013-07-11T00:30:00-00:00,2013-07-11T00:45:00-00:00,2013-07-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,46.24938,3,1
2013-07-11T01:30:00-00:00,2013-07-11T01:45:00-00:00,2013-07-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.47666,3,1
2013-07-11T02:30:00-00:00,2013-07-11T02:45:00-00:00,2013-07-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.5136,3,1
2013-07-11T03:30:00-00:00,2013-07-11T03:45:00-00:00,2013-07-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,46.97356,3,1
2013-07-11T04:30:00-00:00,2013-07-11T04:45:00-00:00,2013-07-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.4253,3,1
2013-07-11T05:30:00-00:00,2013-07-11T05:45:00-00:00,2013-07-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.04465,3,1
2013-07-11T06:30:00-00:00,2013-07-11T06:45:00-00:00,2013-07-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,41.43461,3,1
2013-07-11T00:45:00-00:00,2013-07-11T01:00:00-00:00,2013-07-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.76277,4,1
2013-07-11T01:45:00-00:00,2013-07-11T02:00:00-00:00,2013-07-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,41.75935,4,1
2013-07-11T02:45:00-00:00,2013-07-11T03:00:00-00:00,2013-07-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.45039,4,1
2013-07-11T03:45:00-00:00,2013-07-11T04:00:00-00:00,2013-07-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,46.87156,4,1
2013-07-11T04:45:00-00:00,2013-07-11T05:00:00-00:00,2013-07-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.7138,4,1
2013-07-11T05:45:00-00:00,2013-07-11T06:00:00-00:00,2013-07-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.26727,4,1
2013-07-11T06:45:00-00:00,2013-07-11T07:00:00-00:00,2013-07-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,41.17871,4,1
2013-07-11T00:00:00-00:00,2013-07-11T00:15:00-00:00,2013-07-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-3.4822,1,2
2013-07-11T01:00:00-00:00,2013-07-11T01:15:00-00:00,2013-07-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-3.25651,1,2
2013-07-11T02:00:00-00:00,2013-07-11T02:15:00-00:00,2013-07-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-2.72081,1,2
2013-07-11T03:00:00-00:00,2013-07-11T03:15:00-00:00,2013-07-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-5.17807,1,2
2013-07-11T04:00:00-00:00,2013-07-11T04:15:00-00:00,2013-07-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-8.85754,1,2
2013-07-11T05:00:00-00:00,2013-07-11T05:15:00-00:00,2013-07-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-2.50398,1,2
2013-07-11T06:00:00-00:00,2013-07-11T06:15:00-00:00,2013-07-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-4.59612,1,2
2013-07-11T00:15:00-00:00,2013-07-11T00:30:00-00:00,2013-07-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-1.82896,2,2
2013-07-11T01:15:00-00:00,2013-07-11T01:30:00-00:00,2013-07-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,-3.25575,2,2
