INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2014-12-01T00:00:00-00:00,2014-12-01T00:15:00-00:00,2014-11-30,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,32.94128,1,1
2014-12-01T01:00:00-00:00,2014-12-01T01:15:00-00:00,2014-11-30,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,54.09047,1,1
2014-12-01T02:00:00-00:00,2014-12-01T02:15:00-00:00,2014-11-30,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,74.70348,1,1
2014-12-01T03:00:00-00:00,2014-12-01T03:15:00-00:00,2014-11-30,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,58.34019,1,1
2014-12-01T04:00:00-00:00,2014-12-01T04:15:00-00:00,2014-11-30,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,54.14536,1,1
2014-12-01T05:00:00-00:00,2014-12-01T05:15:00-00:00,2014-11-30,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.89281,1,1
2014-12-01T06:00:00-00:00,2014-12-01T06:15:00-00:00,2014-11-30,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.29327,1,1
2014-12-01T07:00:00-00:00,2014-12-01T07:15:00-00:00,2014-11-30,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.31154,1,1
2014-12-01T00:15:00-00:00,2014-12-01T00:30:00-00:00,2014-11-30,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.77889,2,1
2014-12-01T01:15:00-00:00,2014-12-01T01:30:00-00:00,2014-11-30,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,72.12366,2,1
2014-12-01T02:15:00-00:00,2014-12-01T02:30:00-00:00,2014-11-30,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,71.34925,2,1
2014-12-01T03:15:00-00:00,2014-12-01T03:30:00-00:00,2014-11-30,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,68.53899,2,1
2014-12-01T04:15:00-00:00,2014-12-01T04:30:00-00:00,2014-11-30,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,50.02826,2,1
2014-12-01T05:15:00-00:00,2014-12-01T05:30:00-00:00,2014-11-30,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.38792,2,1
2014-12-01T06:15:00-00:00,2014-12-01T06:30:00-00:00,2014-11-30,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.71695,2,1
2014-12-01T07:15:00-00:00,2014-12-01T07:30:00-00:00,2014-11-30,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.67537,2,1
2014-12-01T00:30:00-00:00,2014-12-01T00:45:00-00:00,2014-11-30,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,48.33381,3,1
2014-12-01T01:30:00-00:00,2014-12-01T01:45:00-00:00,2014-11-30,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,92.47815,3,1
2014-12-01T02:30:00-00:00,2014-12-01T02:45:00-00:00,2014-11-30,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,71.36454,3,1
2014-12-01T03:30:00-00:00,2014-12-01T03:45:00-00:00,2014-11-30,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,58.27652,3,1
2014-12-01T04:30:00-00:00,2014-12-01T04:45:00-00:00,2014-11-30,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.27101,3,1
2014-12-01T05:30:00-00:00,2014-12-01T05:45:00-00:00,2014-11-30,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.46973,3,1
2014-12-01T06:30:00-00:00,2014-12-01T06:45:00-00:00,2014-11-30,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,41.46901,3,1
2014-12-01T07:30:00-00:00,2014-12-01T07:45:00-00:00,2014-11-30,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.27777,3,1
2014-12-01T00:45:00-00:00,2014-12-01T01:00:00-00:00,2014-11-30,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,73.00421,4,1
2014-12-01T01:45:00-00:00,2014-12-01T02:00:00-00:00,2014-11-30,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,74.44261,4,1
2014-12-01T02:45:00-00:00,2014-12-01T03:00:00-00:00,2014-11-30,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,72.27662,4,1
