INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2015-10-11T00:00:00-00:00,2015-10-11T00:15:00-00:00,2015-10-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.55617,1,1
2015-10-11T01:00:00-00:00,2015-10-11T01:15:00-00:00,2015-10-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,535.68501,1,1
2015-10-11T02:00:00-00:00,2015-10-11T02:15:00-00:00,2015-10-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,1114.42272,1,1
2015-10-11T03:00:00-00:00,2015-10-11T03:15:00-00:00,2015-10-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,54.33346,1,1
2015-10-11T04:00:00-00:00,2015-10-11T04:15:00-00:00,2015-10-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.65714,1,1
2015-10-11T05:00:00-00:00,2015-10-11T05:15:00-00:00,2015-10-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.07699,1,1
2015-10-11T06:00:00-00:00,2015-10-11T06:15:00-00:00,2015-10-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.02698,1,1
2015-10-11T00:15:00-00:00,2015-10-11T00:30:00-00:00,2015-10-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,62.41284,2,1
2015-10-11T01:15:00-00:00,2015-10-11T01:30:00-00:00,2015-10-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,1207.37387,2,1
2015-10-11T02:15:00-00:00,2015-10-11T02:30:00-00:00,2015-10-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,79.59735,2,1
2015-10-11T03:15:00-00:00,2015-10-11T03:30:00-00:00,2015-10-10,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.82928,2,1
2015-10-11T04:15:00-00:00,2015-10-11T04:30:00-00:00,2015-10-10,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.36549,2,1
2015-10-11T05:15:00-00:00,2015-10-11T05:30:00-00:00,2015-10-10,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.71848,2,1
2015-10-11T06:15:00-00:00,2015-10-11T06:30:00-00:00,2015-10-10,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,34.4637,2,1
2015-10-11T00:30:00-00:00,2015-10-11T00:45:00-00:00,2015-10-10,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,65.18645,3,1
2015-10-11T01:30:00-00:00,2015-10-11T01:45:00-00:00,2015-10-10,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,1356.55184,3,1
2015-10-11T02:30:00-00:00,2015-10-11T02:45:00-00:00,2015-10-10,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,65.16642,3,1
