INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2011-07-21T00:00:00-00:00,2011-07-21T00:15:00-00:00,2011-07-20,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,50.85628,1,1
2011-07-21T01:00:00-00:00,2011-07-21T01:15:00-00:00,2011-07-20,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,50.37583,1,1
2011-07-21T02:00:00-00:00,2011-07-21T02:15:00-00:00,2011-07-20,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,36.93998,1,1
2011-07-21T03:00:00-00:00,2011-07-21T03:15:00-00:00,2011-07-20,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.80133,1,1
2011-07-21T04:00:00-00:00,2011-07-21T04:15:00-00:00,2011-07-20,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,50.44511,1,1
2011-07-21T05:00:00-00:00,2011-07-21T05:15:00-00:00,2011-07-20,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,38.81458,1,1
2011-07-21T06:00:00-00:00,2011-07-21T06:15:00-00:00,2011-07-20,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,36.43126,1,1
2011-07-21T00:15:00-00:00,2011-07-21T00:30:00-00:00,2011-07-20,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,49.03732,2,1
2011-07-21T01:15:00-00:00,2011-07-21T01:30:00-00:00,2011-07-20,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,44.19116,2,1
2011-07-21T02:15:00-00:00,2011-07-21T02:30:00-00:00,2011-07-20,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,36.21944,2,1
2011-07-21T03:15:00-00:00,2011-07-21T03:30:00-00:00,2011-07-20,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,42.84954,2,1
2011-07-21T04:15:00-00:00,2011-07-21T04:30:00-00:00,2011-07-20,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.74157,2,1
